
굿네이버스는	굿네이버스/NNP+는/JX
인도	인도/NNP
불교미술의	불교/NNG+미술/NNG+의/JKG
발전	발전/NNG
과정과	과정/NNG+과/JKB
구법승의	구법승/NNG+의/JKG
왕래를	왕래/NNG+를/JKO
통해	통하/VV+아/EM
영향을	영향/NNG+을/JKO
주고받은	주고받/VV+은/ETM
아시아	아시아/NNP
불교미술의	불교/NNG+미술/NNG+의/JKG
관계를	관계/NNG+를/JKO
보여준다.	보이/VV+어/EM+주/VX+ㄴ다/EM+./SF

다쓰노	다쓰노/NNP
회장의	회장/NNG+의/JKG
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심은	관심/NNG+은/JX
여기서	여기/NP+서/JKB
멈추지	멈추/VV+지/EM
않았다.	않/VX+았/EP+다/EM+./SF

부부는	부부/NNG+는/JX
불임센터에서	불임/NNG+센터/NNG+에서/JKB
대리모를	대리모/NNG+를/JKO
소개받았다.	소개/NNG+받/VV+았/EP+다/EM+./SF

남편들	남편/NNG+들/XSN
중에는	중/NNB+에/JKB+는/JX
아내에게	아내/NNG+에게/JKB
대리모	대/XPN+리모/NNP
일을	일/NNG+을/JKO
강요하는	강요/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
있을	있/VV+을/ETM
정도다.	정도/NNP+다/EM+./SF

'아바타'	'/SS+아바타/NNP+'/SS
흥행으로	흥행/NNG+으로/JKB
국내	국내/NNG
투자자들이	투자자/NNG+들/XSN+이/JKS
영화산업을	영화/NNG+산업/NNG+을/JKO
다시	다시/MAG
주목하기	주목/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EM+./SF

현재	현재/MAG
활발하게	활발/NNG+하/XSA+게/EM
영화	영화/NNG
투자활동을	투자/NNG+활동/NNG+을/JKO
벌이는	벌이/VV+는/ETM
창업투자회사는	창업/NNG+투자/NNG+회사/NNG+는/JX
7~8개사다.	7/SN+~/SO+8/SN+개사/NNB+이/VCP+다/EM+./SF

이후	이후/NNG
잔액을	잔액/NNG+을/JKO
투자사와	투자사/NNG+와/JKB
제작사가	제작사/NNG+가/JKS
나눠	나누/VV+어/EM
갖는다.	갖/VV+는다/EM+./SF

문재인	문재인/NNP
정부	정부/NNG
429조	429/SN+조/NR
예산안	예산안/NNG
확정,	확정/NNG+,/SP
큰	크/VA+ㄴ/ETM
정부로	정부/NNG+로/JKB
방향	방향/NNG
전환	전환/NNG

복지예산	복지/NNG+예산/NNG
크게	크/VA+게/EM
늘고,	늘/VV+고/EM+,/SP
SOC예산은	SOC/SL+예산/NNG+은/JX
20%	20/SN+%/SW
감소	감소/NNG

내년	내년/NNG
지출	지출/NNG
증가율은	증가/NNG+율/XSN+은/JX
올해	올해/NNG
본예산보다는	본예산/NNG+보다/JKB+는/JX
크게	크/VA+게/EM
늘어난	늘어나/VV+ㄴ/ETM
것이지만,	것/NNB+이/VCP+지만/EM+,/SP
올해	올해/NNG
하반기	하반기/NNG
추가경정예산을	추가/NNG+경정/NNG+예산/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
전체	전체/NNG
예산(410조1천억원)	예산/NNG+(/SS+410/SN+조/NR+1/SN+천억/NR+원/NNB+)/SS
대비로는	대비/NNG+로/JKB+는/JX
4.6%	4/SN+./SF+6/SN+%/SW
수준에	수준/NNG+에/JKB
그쳐	그치/VV+어/EM
‘확장적	‘/SS+확장/NNG+적/XSN
재정’이라고	재정/NNG+’/SS+이라고/JKQ
보기	보/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EM+./SF

법의	법/NNG+의/JKG
잣대로	잣대/NNG+로/JKB
말하자면	말하자면/NNP
'특수절도'에	'/SS+특수/NNG+절도/NNG+'/SS+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
짓이었다.	짓/NNG+이/VCP+었/EP+다/EM+./SF

경제협력개발기구(OECD)는	경제/NNG+협력/NNG+개발/NNG+기구/NNG+(/SS+OECD/SL+)/SS+는/JX
2060년이	2060/SN+년/NNB+이/JKS
되면	되/VV+면/EM
한국이	한국/NNP+이/JKS
42개	42/SN+개/NNB
주요국	주요국/NNG
중	중/NNB
가장	가장/MAG
늙은	늙/VV+은/ETM
국가	국가/NNG
2위가	2/SN+위/NNB+가/JKS
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망한다.	전망/NNG+하/XSV+ㄴ다/EM+./SF

최	최/NNP
씨는	씨/NNB+는/JX
중형	중형/NNG
구형에	구형/NNG+에/JKB
분을	분/NNB+을/JKO
삭이지	삭이/VV+지/EM
못해	못하/VX+아/EM
눈물을	눈물/NNG+을/JKO
쏟으며	쏟/VV+으며/EM
검찰을	검찰/NNG+을/JKO
강하게	강하/VA+게/EM
비난했다.	비난/NNG+하/XSV+았/EP+다/EM+./SF

법정을	법정/NNG+을/JKO
나서던	나서/VV+던/ETM
최	최/NNP
씨는	씨/NNB+는/JX
검찰	검찰/NNG
쪽을	쪽/NNB+을/JKO
향해	향하/VV+아/EM
무언가	무엇/NP+ㄴ가/EM
말을	말/NNG+을/JKO
하려다	하/VV+려다/EM
교도관에게	교도관/NNG+에게/JKB
제지를	제지/NNP+를/JKO
당했다.	당하/VV+았/EP+다/EM+./SF

“글쎄요.	“/SS+글쎄/IC+요/JX+./SF

된장	된장/NNG
간장이라기보다는	간장/NNG+이/VCP+라기/ETN+보다/JKB+는/JX
차라리	차라리/MAG
‘자연을	‘/SS+자연/NNG+을/JKO
먹어서	먹/VV+어서/EM
그렇게	그렇/VA+게/EM
됐다’고	되/VV+었/EP+다/EM+’/SS+고/JKQ
하는	하/VV+는/ETM
편이	편/NNB+이/JKS
옳지	옳/VA+지/EM
않을까요.”	않/VX+을까요/EM+./SF+”/SS

○	○/SW
“미래	“/SS+미래/NNG
협력	협력/NNG
위해선	위하/VV+아서/EM+ㄴ/JX
위안부	위안부/NNG
문제	문제/NNG
해결	해결/NNG
시급”	시급/NNG+”/SS

공	공/NNG
전	전/MM
장관은	장관/NNG+은/JX
“일본에	“/SS+일본/NNP+에/JKB
(위안부	(/SS+위안부/NNG
문제를	문제/NNG+를/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는)	있/VV+는/ETM+)/SS
마중물을	마중/NNG+물/NNG+을/JKO
제공해야	제공/NNG+하/XSV+아야/EM
한다.	하/VX+ㄴ다/EM+./SF

나뭇가지와	나뭇가지/NNG+와/JKB
곡물	곡물/NNG
찌꺼기,	찌꺼기/NNG+,/SP
동물	동물/NNG
배설물	배설물/NNG
등을	등/NNB+을/JKO
연료로	연료/NNG+로/JKB
쓴다.	쓰/VV+ㄴ다/EM+./SF

상호는	상호/NNP+는/JX
소설	소설/NNG
'모비딕'에	'/SS+모비딕/NNP+'/SS+에/JKB
나오는	나오/VV+는/ETM
고래잡이	고래잡이/NNG
배의	배/NNG+의/JKG
일등	일등/NNG
항해사	항해사/NNG
스타벅의	스타벅/NNP+의/JKG
이름에서	이름/NNG+에서/JKB
따왔다.	따오/VV+았/EP+다/EM+./SF

◇베트남전서	◇/SW+베트남/NNP+전서/NNP
훈장	훈장/NNG
5개	5/SN+개/NNB

미	미/NNP
의회는	의회/NNG+는/JX
국가	국가/NNG
안보를	안보/NNG+를/JKO
책임지는	책임지/VV+는/ETM
국방장관에	국방장관/NNG+에/JKB
대해서는	대하/VV+아서/EM+는/JX
압도적인	압도/NNG+적/XSN+이/VCP+ㄴ/ETM
찬성표로	찬성표/NNG+로/JKB
힘을	힘/NNG+을/JKO
실어주는	싣/VV+어/EM+주/VX+는/ETM
것이	것/NNB+이/JKS
관례였다.	관례/NNG+이/VCP+었/EP+다/EM+./SF

물론	물론/MAG
엔진	엔진/NNG
때문에	때문/NNB+에/JKB
가솔린	가솔린/NNG
모델에	모델/NNG+에/JKB
견줘	견/NNG+주/VV+어/EM
공차	공차/NNG
중량이	중량/NNG+이/JKS
30㎏나	30/SN+㎏/SH+나/JKB
높아졌기	높/VA+아/EM+지/VX+었/EP+기/ETN
때문에	때문/NNB+에/JKB
오르막길	오르막/NNG+길/NNG
등에서는	등/NNB+에서/JKB+는/JX
약간	약간/MAG
힘이	힘/NNG+이/JKS
달리는	달리/VV+는/ETM
느낌이	느낌/NNG+이/JKS
있었으나	있/VX+었/EP+으나/EM
엘피지의	엘피지/NNG+의/JKG
경제성을	경제/NNG+성/XSN+을/JKO
생각하면	생각/NNG+하/XSV+면/EM
큰	크/VA+ㄴ/ETM
흠이	흠/NNG+이/JKS
되지는	되/VV+지/EM+는/JX
않는다.	않/VX+는다/EM+./SF

수동변속기	수동/NNG+변속기/NNG
기준으로	기준/NNG+으로/JKB
모닝의	모닝/NNP+의/JKG
가격은	가격/NNG+은/JX
가솔린	가솔린/NNG
모델이	모델/NNG+이/JKS
714만~986만원,	714/SN+만/NR+~/SO+986/SN+만원/NNP+,/SP
엘피지	엘피지/NNG
모델이	모델/NNG+이/JKS
898만~1044만원이다.	898/SN+만/NR+~/SO+1044/SN+만/NR+원/NNB+이/VCP+다/EM+./SF

가이트너	가이트너/NA
장관은	장관/NNG+은/JX
그동안	그동안/NNG
이란	이란/NNP
제재를	제재/NNG+를/JKO
반대해	반대/NNG+하/XSV+아/EM
온	오/VV+ㄴ/ETM
중국을	중국/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EM
11일	11/SN+일/NNB
원자바오(溫家寶)	원자바오/NNP+(/SS+溫家寶/SH+)/SS
총리,	총리/NNG+,/SP
시진핑(習近平)	시진핑/NNP+(/SS+習近平/SH+)/SS
국가부주석,	국가/NNG+부주석/NNP+,/SP
리커창(李克强)	리커창/NNP+(/SS+李克强/SH+)/SS
상무부총리를	상무/NNP+부총리/NNP+를/JKO
차례로	차례/NNG+로/JKB
만나	만나/VV+아/EM
이란	이란/NNP
금수조치	금수/NNG+조치/NNG
동참을	동참/NNG+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EM+./SF

미국	미국/NNP
측과의	측/NNB+과/JKB+의/JKG
협의를	협의/NNG+를/JKO
통해	통하/VV+아/EM
예외를	예외/NNG+를/JKO
인정받더라도	인정받/VV+더라도/EM
이란산	이란/NNP+산/NNG
원유의	원유/NNP+의/JKG
수입	수입/NNG
축소는	축소/NNG+는/JX
불가피할	불가피/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EM+./SF

2011년	2011/SN+년/NNB
11월	11월/NNP
NEJM에	NEJM/SL+에/JKB
한	한/MM
편의	편의/NNG
논문이	논문/NNG+이/JKS
실렸다.	실리/VV+었/EP+다/EM+./SF

일부	일부/NNG
언론은	언론/NNG+은/JX
‘살인	‘/SS+살인/NNP
진드기’란	진드기/NNP+’/SS+란/JX
표현을	표현/NNG+을/JKO
써가며	쓰/VV+어/EM+가/VX+며/EM
이	이/MM
공포심을	공포심/NNG+을/JKO
더욱	더욱/MAG
자극하고	자극/NNG+하/XSV+고/EM
있다.	있/VX+다/EM+./SF

하지만	하지만/MAJ
일각에선	일각/NNG+에서/JKB+ㄴ/JX
미국	미국/NNP
주도의	주도/NNG+의/JKG
이	이/MM
회의가	회의/NNG+가/JKS
기존	기존/NNG
핵보유국의	핵보유국/NNG+의/JKG
핵	핵/NNG
독점권을	독점/NNG+권/XSN+을/JKO
강화하고,	강화/NNG+하/XSV+고/EM+,/SP
원전의	원전/NNG+의/JKG
안전성을	안전/NNG+성/XSN+을/JKO
강조함으로써	강조/NNG+하/XSV+ㅁ/ETN+으로써/JKB
원전	원전/NNG
보급의	보급/NNG+의/JKG
명분을	명분/NNG+을/JKO
세우는	세우/VV+는/ETM
회의가	회의/NNG+가/JKS
되고	되/VV+고/EM
있다고	있/VV+다고/EM
지적한다.	지적/NNG+하/XSV+ㄴ다/EM+./SF

프랑스	프랑스/NNP
파리에	파리/NNP+에/JKB
본사를	본사/NNG+를/JKO
두고,	두/VV+고/EM+,/SP
프랑스	프랑스/NNP
유가증권	유가증권/NNP
시장에	시장/NNG+에/JKB
상장한	상장/NNG+하/XSV+ㄴ/ETM
시스트란은	시스/NNP+트/VV+란/ETM+은/NNP
1968년에	1968/SN+년/NNB+에/JKB
설립돼	설립/NNG+되/XSV+어/EM
자동번역	자동/NNG+번역/NNP
기술	기술/NNG
개발에	개발/NNG+에/JKB
매달려왔다.	매달리/VV+어/EM+오/VX+았/EP+다/EM+./SF

그가	그/NP+가/JKS
촉발시킨	촉발/NNG+시키/XSV+ㄴ/ETM
피부과	피부과/NNP
간의	간/NNB+의/JKG
최신장비·최신시술	최신/NNG+장비/NNP+·/SP+최신/NNG+시술/NNP
경쟁은	경쟁/NNG+은/JX
우리나라	우리나라/NNP
피부과	피부과/NNP
경쟁력을	경쟁력/NNG+을/JKO
세계	세계/NNG
최고로	최고/NNG+로/JKB
올려놓는	올려놓/VV+는/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
계기가	계기/NNG+가/JKS
됐다.	되/VV+었/EP+다/EM+./SF

인터넷과	인터넷/NNG+과/JKB
이동전화,	이동/NNP+전화/NNP+,/SP
통신	통신/NNG
제공	제공/NNG
문제	문제/NNG
등은	등/NNB+은/JX
기술적·법적	기술/NNG+적/XSN+·/SP+법/NNG+적/XSN
문제들이	문제/NNG+들/XSN+이/JKS
가로놓여	가로놓이/VV+어/EM
있어	있/VV+어/EM
쉽게	쉽/VA+게/EM
합의에	합의/NNG+에/JKB
이르지	이르/VV+지/EM
못한	못하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EM+./SF

“가난에서	“/SS+가난/NNG+에서/JKB
벗어나려는	벗어나/VV+려는/ETM
그들의	그/NP+들/XSN+의/JKG
열정이	열정/NNG+이/JKS
제	제/XPN
마음을	마음/NNG+을/JKO
움직였습니다.”	움직이/VV+었/EP+습니다/EM+./SF+”/SS

그는	그/NP+는/JX
교수들의	교수/NNG+들/XSN+의/JKG
역량을	역량/NNG+을/JKO
끌어올리는	끌어올리/VV+는/ETM
교수	교수/NNG
능력향상	능력/NNG+향상/NNG
프로그램을	프로그램/NNG+을/JKO
구상중인데,	구상/NNP+중/NNB+이/VCP+ㄴ데/EM+,/SP
서울대와	서울대/NNP+와/JKB
연계해	연계/NNG+하/XSV+아/EM
서울대	서울대/NNP
교수들이	교수/NNG+들/XSN+이/JKS
아다마대에	아다마/NNP+대/NNB+에/JKB
자문을	자문/NNG+을/JKO
해주고	하/VV+아/EM+주/VX+고/EM
강의를	강의/NNG+를/JKO
맡는	맡/VV+는/ETM
방안도	방안/NNG+도/JX
검토하고	검토/NNG+하/XSV+고/EM
있다.	있/VX+다/EM+./SF

캠퍼스에	캠퍼스/NNP+에/JKB
어린	어리/VA+ㄴ/ETM
학생들이	학생/NNG+들/XSN+이/JKS
왜	왜/MAG
왔을까.	오/VX+았/EP+을까/EM+./SF

검찰	검찰/NNG
조직에	조직/NNG+에/JKB
‘또라이’가	‘/SS+또라이/NNG+’/SS+가/JKS
있어서야	있/VV+어서/EM+야/JX

상사만	상사/NNP+만/JX
잘	잘/MAG
만나도	만나/VV+아도/EM
인생이	인생/NNG+이/JKS
활짝	활짝/MAG
필	필/NNP
수	수/NNB
있단	있/VV+단/ETM
얘기다.	얘기/NNG+다/JX+./SF

이	이/MM
가운데	가운데/NNG
인력을	인력/NNG+을/JKO
줄이면서도	줄이/VV+면서/EM+도/JX
총수	총수/NNP
일가	일가/NNG
지분이	지분/NNG+이/JKS
많은	많/VA+은/ETM
회사에	회사/NNG+에/JKB
일감을	일감/NNG+을/JKO
늘린	늘리/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
앞서	앞서/MAG
삼성	삼성/NNP
금융	금융/NNG
계열사	계열사/NNG
세	세/MM
곳과	곳/NNG+과/JKB
씨제이이앤엠으로	씨제이이앤엠으로/NA
나타났다.	나타나/VV+았/EP+다/EM+./SF

삼성에스디에스는	삼성에스디에스는/NA
이재용	이재용/NNP
삼성전자	삼성전자/NNP
부회장이	부회장/NNP+이/JKS
11.3%의	11/SN+./SF+3/SN+%/SW+의/JKG
지분을	지분/NNG+을/JKO
갖고	갖/VV+고/EM
있는	있/VV+는/ETM
등	등/NNB
총수	총수/NNP
일가	일가/NNG
지분이	지분/NNG+이/JKS
19.1%에	19/SN+./SF+1/SN+%/SW+에/JKB
이른다.	이르/VV+ㄴ다/EM+./SF

일부	일부/NNG
회사는	회사/NNG+는/JX
내부거래를	내부/NNG+거래/NNG+를/JKO
대체로	대체로/MAG
줄이면서도	줄이/VV+면서/EM+도/JX
총수	총수/NNP
일가의	일가/NNG+의/JKG
이해가	이해/NNG+가/JKS
큰	크/VA+ㄴ/ETM
회사에	회사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
내부거래	내부/NNP+거래/NNP
축소는	축소/NNG+는/JX
최소화하다	최소/NNG+화/XSN+하/XSV+다/EM
보니	보니/NNP
전체	전체/NNG
내부거래에서	내부/NNP+거래/NNP+에서/JKB
문제의	문제/NNG+의/JKG
회사가	회사/NNG+가/JKS
차지하는	차지/NNG+하/XSV+는/ETM
비중은	비중/NNG+은/JX
오히려	오히려/MAJ
커졌다.	커지/VV+었/EP+다/EM+./SF

사드의	사드/NNP+의/JKG
